state,central_authority_url,authority_model,discovery_strategy,status,notes
AK,https://www.elections.alaska.gov/,state/election-region,state election authority first,candidate,"Use statewide election administration and election-region/reporting-unit products rather than county assumptions."
HI,https://elections.hawaii.gov/resources/county-election-divisions/,state+county,state county-election-division directory,candidate,"Compact county structure; enumerate all county election divisions centrally."
LA,https://www.sos.la.gov/ElectionsAndVoting/FindPublicOfficials/ClerksOfCourt/Pages/default.aspx,parish,state clerk/parish directory,candidate,"Enumerate parish clerks and election result surfaces from SOS."
MA,https://www.sec.state.ma.us/divisions/elections/local-officials/find-my-election-office.htm,municipal,state local-election-office directory,candidate,"Municipality-first enumeration from Secretary of Commonwealth."
MD,https://elections.maryland.gov/about/county_boards.html,county+independent-city,state county-board directory,candidate,"Enumerate county boards plus Baltimore City."
MN,https://www.sos.state.mn.us/elections-voting/find-county-election-office/,state+county/local,state county-election-office directory,candidate,"Strong statewide backbone; preserve DFL ballot label separately from national party family."
MO,https://www.sos.mo.gov/elections/goVoteMissouri/localelectionauthority,local-election-authority,state LEA directory,candidate,"Enumerate local election authorities rather than assuming county-only coverage."
ND,https://www.sos.nd.gov/elections/county-election-officials,county+state,state county-election-official directory,candidate,"No voter registration; registered-voter denominator must remain null/not-applicable where appropriate."
NH,https://www.sos.nh.gov/elections,town+ward,state election office plus town/ward enumeration,candidate,"Town/ward reporting; use state sources to enumerate local authorities where possible."
NJ,https://www.nj.gov/state/elections/election-information-results-county-sites.html,county+municipal/election-district,state county result-site directory,candidate,"County election-night pages are primary; then descend to municipality/election-district artifacts and historical primary PDFs."
NM,https://www.sos.nm.gov/voting-and-elections/voter-information-portal/county-clerk-information/,county+state,state county-clerk directory,candidate,"Enumerate all county clerks centrally, then fingerprint local result platforms."
NY,https://elections.ny.gov/county-boards-elections,county+board-of-elections,state county-board directory,candidate,"Preserve fusion ballot-line votes separately from candidate-combined totals."
OR,https://sos.oregon.gov/elections/Pages/countyofficials.aspx,county,state county-official directory,candidate,"Vote-by-mail state; county reporting plus in-person service semantics."
RI,https://elections.ri.gov/about-us/local-boards-canvassers,state+municipal,state local-board directory,candidate,"Compact full municipal census from central board directory."
SC,https://scvotes.gov/contact/county-voter-registration-election-offices/,county+state,state county-election-office directory,candidate,"Enumerate all county election commissions from SC Votes."
VA,https://www.elections.virginia.gov/localGR/,county+independent-city,state general-registrar directory,candidate,"Enumerate counties and independent cities as peer election authorities."
VT,https://sos.vermont.gov/elections/,town,state town/clerk election directory,candidate,"Town-level administration; central SOS first, then municipal archives."
WI,https://elections.wi.gov/clerks/directory,municipal+county,state clerk directory,candidate,"Use statewide clerk directory to enumerate municipal and county election officials."
